127.0.0.1 - - [03/Jan/2017:12:49:13 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:49:14 +0800] "GET /MCHDemo/ HTTP/1.1" 200 2032
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:49:14 +0800] "GET /MCHDemo/images/13.jpg HTTP/1.1" 200 121371
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:49:14 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:50:00 +0800] "GET /MCHDemo/ HTTP/1.1" 200 2032
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:50:00 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:50:00 +0800] "GET /MCHDemo/images/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:50:20 +0800] "GET /MCHDemo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:50:23 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:50:23 +0800] "GET /MCHDemo/images/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:50:56 +0800] "GET /MCHDemo/ HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:50:57 +0800] "GET /MCHDemo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:51:01 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:51:01 +0800] "GET /MCHDemo/images/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:52:13 +0800] "GET /MCHDemo/ HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:52:15 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:52:15 +0800] "GET /MCHDemo/images/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:52:51 +0800] "GET /MCHDemo/ HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:52:52 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [03/Jan/2017:12:52:52 +0800] "GET /MCHDemo/images/13.jpg HTTP/1.1" 304 -
