127.0.0.1 - - [09/Jan/2017:17:04:57 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:04:58 +0800] "GET /MCHDemo/ HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:04:58 +0800] "GET /MCHDemo/images/13.jpg HTTP/1.1" 200 121371
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:04:58 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/easemob.js HTTP/1.1" 200 20592
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:04:58 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:04:58 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/im.html?tenantId=298&hide=&resources=&to=user5&appKey=ebpangyong%23chatapp&ticket=true HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:04:58 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/css/im.css?v=43.12.013 HTTP/1.1" 200 26788
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:04:58 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/js/main.js?v=43.12.013 HTTP/1.1" 200 305890
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:04:58 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/img/drag.png HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:04:59 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/css/font/iconfont.eot?v=43.12.013 HTTP/1.1" 200 16822
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:04:59 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/mp3/msg.m4a HTTP/1.1" 200 6862
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:07 +0800] "GET /MCHDemo/ HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:07 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:07 +0800] "GET /MCHDemo/images/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:07 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/easemob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:07 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:14 +0800] "GET /MCHDemo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:14 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:14 +0800] "GET /MCHDemo/images/13.jpg HTTP/1.1" 200 121371
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:14 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/easemob.js HTTP/1.1" 200 20592
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:14 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/img/drag.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:14 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/im.html?tenantId=298&hide=&resources=&to=user5&appKey=ebpangyong%23chatapp&ticket=true HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:14 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/css/im.css?v=43.12.013 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:14 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/js/main.js?v=43.12.013 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:25 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:09:25 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/css/im.css?v=43.12.013 HTTP/1.1" 200 26788
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:13:06 +0800] "GET /MCHDemo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:13:06 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:13:06 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/js/main.js?v=43.12.013 HTTP/1.1" 200 305890
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:13:06 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/css/font/iconfont.woff?v=43.12.013 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:13:06 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/mp3/msg.m4a HTTP/1.1" 206 6862
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:13:43 +0800] "GET /MCHDemo/ HTTP/1.1" 200 2972
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:13:43 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:13:45 +0800] "GET /MCHDemo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:13:46 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:14:06 +0800] "GET /MCHDemo/ HTTP/1.1" 200 2972
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:14:06 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:14:06 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/mp3/msg.m4a HTTP/1.1" 200 6862
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:04 +0800] "GET /MCHDemo/ HTTP/1.1" 200 2974
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:04 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:05 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/mp3/msg.m4a HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:36 +0800] "GET /MCHDemo/ HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:36 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:36 +0800] "GET /MCHDemo/images/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:36 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/easemob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:36 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/im.html?tenantId=298&hide=&resources=&to=user5&appKey=ebpangyong%23chatapp&ticket=true HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:36 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/css/im.css?v=43.12.013 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:36 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/js/main.js?v=43.12.013 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:36 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/img/drag.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:36 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/mp3/msg.m4a HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:48 +0800] "GET /MCHDemo/ HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:48 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:54 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:57 +0800] "GET /MCHDemo/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:15:57 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:34:36 +0800] "GET /MCHDemo/ HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:34:36 +0800] "GET /MCHDemo/style/animated.min.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:34:36 +0800] "GET /MCHDemo/images/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:34:36 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/easemob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:34:36 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/im.html?tenantId=298&hide=&resources=&to=user5&appKey=ebpangyong%23chatapp&ticket=true HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:34:36 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/css/im.css?v=43.12.013 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2017:17:34:36 +0800] "GET /MCHDemo/kefu-webim-plugin_43.12/static/js/main.js?v=43.12.013 HTTP/1.1" 304 -
